pair,base_bar,signal_bar,float_pct,tp_pct,sl_pct,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals,y2024_end,y2024_pnl_pct,y2025_end,y2025_pnl_pct,y2026_end,y2026_pnl_pct
SOL-USDT-SWAP,30m,4H,0.001,0.03,0.01,140.0,0.0,-100.0,1146,404,742,35.253,100.0,0.693,-4.104,4388,6.6,-95.29,0.01,-99.9,0.0,-98.52
SOL-USDT-SWAP,30m,4H,0.001,0.03,0.015,140.0,0.0,-100.0,1146,439,707,38.307,100.0,0.685,-4.104,4388,7.52,-94.63,0.01,-99.85,0.0,-98.73
SOL-USDT-SWAP,30m,4H,0.001,0.03,0.02,140.0,0.0,-100.0,1146,452,694,39.442,100.0,0.68,-4.104,4388,7.43,-94.69,0.02,-99.78,0.0,-98.32
SOL-USDT-SWAP,30m,4H,0.0015,0.006,0.005,140.0,2.528,-98.194,1095,612,483,55.89,98.382,0.714,-4.03,4388,49.21,-64.85,5.55,-88.72,2.53,-54.44
SOL-USDT-SWAP,30m,4H,0.0015,0.006,0.008,140.0,55.633,-60.262,1095,729,366,66.575,81.959,0.911,-2.473,4388,107.73,-23.05,31.53,-70.73,55.63,76.43
SOL-USDT-SWAP,30m,4H,0.0015,0.006,0.01,140.0,178.832,27.737,1095,769,326,70.228,63.474,1.022,1.138,4388,153.66,9.75,109.35,-28.83,178.83,63.54
SOL-USDT-SWAP,30m,4H,0.0015,0.006,0.015,140.0,3588.757,2463.398,1095,823,272,75.16,45.434,1.219,101.097,4388,413.98,195.7,1695.94,309.66,3588.76,111.61
SOL-USDT-SWAP,30m,4H,0.0015,0.006,0.02,140.0,16559.207,11728.005,1095,846,249,77.26,48.035,1.299,481.313,4388,676.56,383.26,5195.81,667.97,16559.21,218.7
SOL-USDT-SWAP,30m,4H,0.0015,0.008,0.005,140.0,1.052,-99.249,1095,509,586,46.484,99.344,0.748,-4.073,4388,54.62,-60.98,5.26,-90.37,1.05,-80.01
SOL-USDT-SWAP,30m,4H,0.0015,0.008,0.008,140.0,13.206,-90.567,1095,611,484,55.799,91.456,0.856,-3.717,4388,89.39,-36.15,20.93,-76.59,13.21,-36.9
SOL-USDT-SWAP,30m,4H,0.0015,0.008,0.01,140.0,38.406,-72.567,1095,647,448,59.087,81.391,0.941,-2.978,4388,159.83,14.16,73.04,-54.3,38.41,-47.42
