pair,signal_bar,float_pct,tp_pct,sl_pct,ret_0bp,mdd_0bp,ret_10bp,mdd_10bp,ret_30bp,mdd_30bp,ret_50bp,mdd_50bp,pass_30bp
BTC-USDT-SWAP,1D,0.01,0.008,0.02,10271.0,30.7,3107.1,35.1,196.2,46.4,-73.9,82.9,True
BTC-USDT-SWAP,1D,0.01,0.008,0.025,15367.5,28.3,5131.4,32.8,388.5,43.0,-56.5,74.2,True
BTC-USDT-SWAP,1D,0.01,0.008,0.03,15756.7,33.1,5334.1,37.4,407.9,47.0,-54.7,73.2,True
ETH-USDT-SWAP,6H,0.002,0.006,0.03,229125.9,31.3,151185.8,32.3,779.0,77.0,-100.0,100.0,True
ETH-USDT-SWAP,6H,0.003,0.006,0.03,221825.5,33.2,150941.7,34.9,4742.1,75.6,-100.0,100.0,True
ETH-USDT-SWAP,6H,0.003,0.008,0.03,247789.6,33.2,176360.9,34.9,23561.8,84.6,-100.0,100.0,True
ETH-USDT-SWAP,6H,0.003,0.01,0.03,251104.9,33.6,179456.1,36.0,21348.6,88.4,-100.0,100.0,True
ETH-USDT-SWAP,6H,0.004,0.008,0.03,225943.7,32.6,161625.9,34.2,21178.7,82.1,-99.9,99.9,True
ETH-USDT-SWAP,6H,0.004,0.01,0.03,226468.2,32.6,161039.5,34.2,14548.0,87.7,-100.0,100.0,True
ETH-USDT-SWAP,6H,0.005,0.006,0.03,175894.5,31.0,117101.2,34.0,1564.0,87.1,-100.0,100.0,True
ETH-USDT-SWAP,6H,0.005,0.008,0.03,204000.2,31.9,145043.0,33.5,16501.4,79.2,-99.9,99.9,True
ETH-USDT-SWAP,6H,0.005,0.01,0.03,214050.3,31.9,154545.0,33.5,20344.3,89.3,-99.9,99.9,True
ETH-USDT-SWAP,6H,0.005,0.012,0.03,219716.0,31.9,160173.0,33.5,22083.0,88.4,-99.8,99.9,True
ETH-USDT-SWAP,1D,0.01,0.004,0.03,1642.6,31.0,291.7,34.0,-81.1,81.1,-99.1,99.1,False
ETH-USDT-SWAP,1D,0.01,0.006,0.02,3269.0,37.6,661.0,39.2,-62.9,76.9,-98.3,98.3,False
ETH-USDT-SWAP,1D,0.01,0.006,0.03,14502.3,31.6,3474.7,36.6,79.9,56.4,-91.5,91.5,True
ETH-USDT-SWAP,1D,0.01,0.008,0.015,7259.3,36.8,1573.8,39.6,-17.2,70.1,-96.1,97.4,False
