pair,mode,signal_bar,float_pct,tp_pct,sl_pct,confirm,min_amp,max_amp,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals,y2024_end,y2024_pnl_pct,y2025_end,y2025_pnl_pct,y2026_end,y2026_pnl_pct
BTC-USDT-SWAP,reversal,4H,0.001,0.02,0.025,1,0.0,10.0,148.0,0.0,-100.0,2416,945,1471,39.11,100.0,0.567,-4.104,4388,0.0,-100.0,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.001,0.02,0.03,1,0.0,10.0,148.0,0.0,-100.0,2416,946,1470,39.16,100.0,0.608,-4.104,4388,0.0,-100.0,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.001,0.03,0.01,1,0.0,10.0,148.0,0.0,-100.0,2416,875,1541,36.22,100.0,0.591,-4.104,4388,0.0,-100.0,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.001,0.03,0.015,1,0.0,10.0,148.0,0.0,-100.0,2416,922,1494,38.16,100.0,0.636,-4.104,4388,0.01,-99.99,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.001,0.03,0.02,1,0.0,10.0,148.0,0.0,-100.0,2416,934,1482,38.66,100.0,0.559,-4.104,4388,0.01,-100.0,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.001,0.03,0.025,1,0.0,10.0,148.0,0.0,-100.0,2416,939,1477,38.87,100.0,0.569,-4.104,4388,0.01,-100.0,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.001,0.03,0.03,1,0.0,10.0,148.0,0.0,-100.0,2416,940,1476,38.91,100.0,0.61,-4.104,4388,0.01,-100.0,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.002,0.006,0.01,1,0.0,10.0,148.0,0.0,-100.0,2039,1141,898,55.96,100.0,0.812,-4.104,4388,7.19,-95.14,0.0,-100.0,0.0,-99.35
BTC-USDT-SWAP,reversal,4H,0.002,0.006,0.015,1,0.0,10.0,148.0,0.0,-100.0,2039,1189,850,58.31,100.0,0.938,-4.104,4388,32.25,-78.21,0.0,-100.0,0.0,-98.55
BTC-USDT-SWAP,reversal,4H,0.002,0.006,0.02,1,0.0,10.0,148.0,0.0,-100.0,2039,1200,839,58.85,100.0,0.942,-4.104,4388,50.61,-65.8,0.0,-100.0,0.0,-97.97
