pair,mode,signal_bar,float_pct,tp_pct,sl_pct,confirm,min_amp,max_amp,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals,y2024_end,y2024_pnl_pct,y2025_end,y2025_pnl_pct,y2026_end,y2026_pnl_pct
BTC-USDT-SWAP,reversal,4H,0.001,0.02,0.03,1,0.0,10.0,148.0,0.0,-100.0,1832,717,1115,39.14,100.0,0.608,-5.474,3289,0.0,-100.0,0.0,-100.0,0.0,-37.44
BTC-USDT-SWAP,reversal,4H,0.001,0.03,0.01,1,0.0,10.0,148.0,0.0,-100.0,1832,668,1164,36.46,100.0,0.591,-5.474,3289,0.0,-100.0,0.0,-100.0,0.0,-35.18
BTC-USDT-SWAP,reversal,4H,0.001,0.03,0.015,1,0.0,10.0,148.0,0.0,-100.0,1832,701,1131,38.26,100.0,0.636,-5.474,3289,0.01,-99.99,0.0,-100.0,0.0,-38.87
BTC-USDT-SWAP,reversal,4H,0.001,0.03,0.02,1,0.0,10.0,148.0,0.0,-100.0,1832,709,1123,38.7,100.0,0.559,-5.474,3289,0.01,-100.0,0.0,-100.0,0.0,-37.44
BTC-USDT-SWAP,reversal,4H,0.001,0.03,0.025,1,0.0,10.0,148.0,0.0,-100.0,1832,712,1120,38.86,100.0,0.569,-5.474,3289,0.01,-100.0,0.0,-100.0,0.0,-37.44
BTC-USDT-SWAP,reversal,4H,0.001,0.03,0.03,1,0.0,10.0,148.0,0.0,-100.0,1832,713,1119,38.92,100.0,0.61,-5.474,3289,0.01,-100.0,0.0,-100.0,0.0,-37.44
BTC-USDT-SWAP,reversal,4H,0.002,0.006,0.01,1,0.0,10.0,148.0,0.0,-100.0,1537,853,684,55.5,100.0,0.812,-5.474,3289,7.19,-95.14,0.0,-100.0,0.0,-11.79
BTC-USDT-SWAP,reversal,4H,0.002,0.006,0.015,1,0.0,10.0,148.0,0.0,-100.0,1537,887,650,57.71,100.0,0.938,-5.474,3289,32.25,-78.21,0.0,-100.0,0.0,-16.82
BTC-USDT-SWAP,reversal,4H,0.002,0.006,0.02,1,0.0,10.0,148.0,0.0,-100.0,1537,894,643,58.17,100.0,0.942,-5.474,3289,50.61,-65.8,0.0,-100.0,0.0,-13.85
BTC-USDT-SWAP,reversal,4H,0.002,0.006,0.025,1,0.0,10.0,148.0,0.0,-100.0,1537,894,643,58.17,100.0,0.929,-5.474,3289,34.64,-76.6,0.0,-100.0,0.0,-13.85
BTC-USDT-SWAP,reversal,4H,0.002,0.006,0.03,1,0.0,10.0,148.0,0.0,-100.0,1537,898,639,58.43,100.0,0.944,-5.474,3289,65.35,-55.84,0.0,-100.0,0.0,-13.85
BTC-USDT-SWAP,reversal,4H,0.002,0.008,0.01,1,0.0,10.0,148.0,0.0,-100.0,1537,715,822,46.52,100.0,0.762,-5.474,3289,2.4,-98.38,0.0,-100.0,0.0,-7.39
BTC-USDT-SWAP,reversal,4H,0.002,0.008,0.015,1,0.0,10.0,148.0,0.0,-100.0,1537,745,792,48.47,100.0,0.834,-5.474,3289,4.42,-97.01,0.0,-100.0,0.0,-12.67
BTC-USDT-SWAP,reversal,4H,0.002,0.008,0.02,1,0.0,10.0,148.0,0.0,-100.0,1537,753,784,48.99,100.0,0.815,-5.474,3289,7.26,-95.09,0.0,-100.0,0.0,-9.56
BTC-USDT-SWAP,reversal,4H,0.002,0.008,0.025,1,0.0,10.0,148.0,0.0,-100.0,1537,753,784,48.99,100.0,0.797,-5.474,3289,4.69,-96.83,0.0,-100.0,0.0,-9.56
BTC-USDT-SWAP,reversal,4H,0.002,0.008,0.03,1,0.0,10.0,148.0,0.0,-100.0,1537,756,781,49.19,100.0,0.823,-5.474,3289,9.03,-93.9,0.0,-100.0,0.0,-9.56
BTC-USDT-SWAP,reversal,4H,0.002,0.01,0.01,1,0.0,10.0,148.0,0.0,-100.0,1537,651,886,42.36,100.0,0.748,-5.474,3289,1.04,-99.3,0.0,-100.0,0.0,-11.15
