pair,signal_bar,float_pct,tp_pct,sl_pct,total_return_pct_tr,max_dd_pct_tr,win_rate_pct_tr,trades_tr,profit_factor_tr,monthly_pct_tr,total_return_pct_te,max_dd_pct_te,win_rate_pct_te,trades_te,profit_factor_te,monthly_pct_te,total_return_pct_full,max_dd_pct_full,win_rate_pct_full,trades_full,profit_factor_full,y2024_pnl_pct_full,y2025_pnl_pct_full,y2026_pnl_pct_full
BTC-USDT-SWAP,12H,0.01,0.004,0.03,195.85,34.157,92.537,134,1.872,10.683,69.09,32.0,97.872,47,1.94,11.326,400.251,34.157,93.923,181,1.906,64.91,79.4,69.09
BTC-USDT-SWAP,12H,0.01,0.006,0.01,343.207,32.772,79.104,134,1.574,18.72,103.678,23.344,82.979,47,1.75,16.996,802.714,32.772,80.11,181,1.663,122.54,99.16,103.68
BTC-USDT-SWAP,12H,0.01,0.006,0.02,1383.189,39.394,87.313,134,2.429,75.447,186.994,22.0,89.362,47,2.479,30.655,4156.667,39.394,87.845,181,2.462,284.79,285.46,186.99
BTC-USDT-SWAP,12H,0.01,0.006,0.03,1513.31,37.727,88.06,134,2.606,82.544,233.6,32.0,91.489,47,2.539,38.295,5282.002,37.727,88.95,181,2.558,235.45,380.93,233.6
BTC-USDT-SWAP,12H,0.01,0.008,0.01,419.298,39.093,70.149,134,1.497,22.871,290.375,22.56,82.979,47,2.379,47.602,1927.211,39.093,73.481,181,1.995,172.12,90.83,290.38
BTC-USDT-SWAP,12H,0.01,0.008,0.015,1920.227,38.648,77.612,134,2.199,104.74,356.271,31.11,85.106,47,2.864,58.405,9117.712,38.648,79.558,181,2.669,479.08,248.87,356.27
BTC-USDT-SWAP,1D,0.004,0.004,0.025,447.393,28.701,97.778,135,3.118,24.403,49.757,27.6,97.368,38,2.773,8.157,719.758,28.701,97.688,173,2.972,79.92,204.24,49.76
BTC-USDT-SWAP,1D,0.005,0.004,0.02,226.138,29.868,95.276,127,1.805,12.335,55.991,22.0,97.222,36,2.967,9.179,408.747,29.868,95.706,163,2.094,93.39,68.65,55.99
BTC-USDT-SWAP,1D,0.005,0.004,0.025,209.704,31.064,95.276,127,1.788,11.438,103.989,0.0,100.0,36,inf,17.047,531.76,31.064,96.319,163,2.998,80.99,71.12,103.99
BTC-USDT-SWAP,1D,0.005,0.004,0.03,303.097,32.0,96.063,127,2.125,16.533,103.989,0.0,100.0,36,inf,17.047,722.272,32.0,96.933,163,3.68,68.59,139.1,103.99
BTC-USDT-SWAP,1D,0.007,0.004,0.025,186.015,32.415,95.37,108,2.155,10.146,87.9,0.0,100.0,32,inf,14.41,437.422,32.415,96.429,140,3.715,57.56,81.53,87.9
BTC-USDT-SWAP,1D,0.007,0.004,0.03,272.266,32.0,96.296,108,2.891,14.851,87.9,0.0,100.0,32,inf,14.41,599.486,32.0,97.143,140,5.164,46.77,153.64,87.9
BTC-USDT-SWAP,1D,0.007,0.006,0.025,1009.164,27.0,90.741,108,2.757,55.045,143.51,27.6,96.875,32,4.003,23.526,2600.93,27.6,92.143,140,3.355,224.7,241.59,143.51
BTC-USDT-SWAP,1D,0.007,0.006,0.03,1371.948,32.0,91.667,108,3.236,74.834,175.066,18.218,96.875,32,6.549,28.699,3948.826,32.0,92.857,140,4.664,202.46,386.65,175.07
BTC-USDT-SWAP,1D,0.01,0.004,0.025,289.928,32.084,97.895,95,5.285,15.814,67.342,0.0,100.0,26,inf,11.04,552.513,32.084,98.347,121,9.166,27.99,204.66,67.34
BTC-USDT-SWAP,1D,0.01,0.004,0.03,263.221,36.736,97.895,95,4.501,14.357,67.342,0.0,100.0,26,inf,11.04,507.82,36.736,98.347,121,7.754,19.22,204.66,67.34
BTC-USDT-SWAP,1D,0.01,0.006,0.015,647.936,36.099,91.579,95,2.998,35.342,74.557,25.489,92.308,26,2.9,12.223,1205.577,36.099,91.736,121,2.951,72.26,334.19,74.56
BTC-USDT-SWAP,1D,0.01,0.006,0.02,694.104,38.676,92.632,95,3.518,37.86,174.062,0.0,100.0,26,inf,28.535,2076.336,38.676,94.215,121,8.532,55.32,411.27,174.06
BTC-USDT-SWAP,1D,0.01,0.006,0.025,1136.212,36.513,93.684,95,5.132,61.975,174.062,0.0,100.0,26,inf,28.535,3287.985,36.513,95.041,121,12.956,81.34,581.69,174.06
BTC-USDT-SWAP,1D,0.01,0.008,0.02,1054.925,35.066,82.105,95,2.401,57.541,177.691,22.6,88.462,26,4.67,29.13,3107.117,35.066,83.471,121,3.368,127.35,408.0,177.69
BTC-USDT-SWAP,1D,0.01,0.008,0.025,1614.113,32.776,83.158,95,2.562,88.043,205.194,14.934,88.462,26,6.625,33.638,5131.366,32.776,84.298,121,4.094,165.44,545.76,205.19
BTC-USDT-SWAP,1D,0.01,0.008,0.03,1680.534,37.38,83.158,95,2.926,91.665,205.194,14.934,88.462,26,6.625,33.638,5334.078,37.38,84.298,121,4.505,147.26,620.11,205.19
ETH-USDT-SWAP,6H,0.002,0.006,0.03,97054.823,32.3,88.482,573,3.109,5293.899,14467.887,32.0,89.796,196,3.379,2371.785,151185.77,32.3,88.817,769,3.499,11637.48,721.08,56.98
ETH-USDT-SWAP,6H,0.003,0.006,0.03,96006.911,34.894,90.595,521,3.382,5236.741,16829.477,26.829,92.442,172,3.813,2758.931,150941.716,34.894,91.053,693,4.104,16299.2,483.57,57.83
ETH-USDT-SWAP,6H,0.003,0.008,0.03,112483.976,34.894,81.766,521,2.575,6135.49,24619.97,32.3,85.465,172,2.504,4036.061,176360.894,34.894,82.684,693,2.903,22157.78,403.22,57.55
ETH-USDT-SWAP,6H,0.003,0.01,0.03,119342.336,36.027,75.624,521,2.249,6509.582,19071.049,37.351,74.419,172,1.723,3126.402,179456.064,36.027,75.325,693,2.359,24353.66,385.25,51.32
ETH-USDT-SWAP,6H,0.004,0.008,0.03,100813.266,34.213,82.39,477,2.563,5498.905,22575.598,28.287,87.261,157,2.338,3700.918,161625.887,34.213,83.596,634,2.952,18798.6,433.97,60.26
ETH-USDT-SWAP,6H,0.004,0.01,0.03,104929.561,34.213,75.472,477,2.144,5723.431,13429.459,46.383,75.796,157,1.563,2201.551,161039.519,34.213,75.552,634,2.287,26810.75,290.29,53.42
ETH-USDT-SWAP,6H,0.005,0.006,0.03,69767.089,33.958,90.183,438,2.706,3805.478,9097.725,18.54,95.035,141,6.986,1491.43,117101.155,33.958,91.364,579,3.488,11335.93,510.94,67.75
ETH-USDT-SWAP,6H,0.005,0.008,0.03,94580.439,33.53,82.648,438,2.608,5158.933,9484.867,44.852,87.943,141,1.653,1554.896,145042.97,33.53,83.938,579,2.825,17275.48,444.91,53.3
ETH-USDT-SWAP,6H,0.005,0.01,0.03,99455.734,33.53,75.114,438,2.13,5424.858,14163.426,40.214,81.56,141,1.628,2321.873,154545.007,33.53,76.684,579,2.31,28239.37,251.3,55.34
ETH-USDT-SWAP,6H,0.005,0.012,0.03,102971.437,33.53,70.32,438,2.01,5616.624,15468.595,39.033,73.759,141,1.595,2535.835,160173.031,33.53,71.157,579,2.172,27937.41,267.62,55.5
ETH-USDT-SWAP,1D,0.01,0.004,0.03,80.957,33.958,96.429,112,1.315,4.416,116.474,0.0,100.0,39,inf,19.094,291.725,33.958,97.351,151,2.137,30.71,38.44,116.47
ETH-USDT-SWAP,1D,0.01,0.006,0.02,349.252,39.16,91.071,112,1.44,19.05,69.388,30.366,89.744,39,1.523,11.375,660.98,39.16,90.728,151,1.475,58.39,183.64,69.39
ETH-USDT-SWAP,1D,0.01,0.006,0.03,790.307,36.571,94.643,112,1.999,43.108,301.512,9.545,97.436,39,14.862,49.428,3474.693,36.571,95.364,151,4.528,49.89,493.98,301.51
ETH-USDT-SWAP,1D,0.01,0.008,0.015,637.095,39.61,83.036,112,1.382,34.751,127.083,33.947,82.051,39,1.699,20.833,1573.815,39.61,82.781,151,1.524,214.5,134.37,127.08
