timestamp,open,high,low,close,volume,volume_ccy,volume_ccy_quote,confirm
1748241000000,2570.5,2584.92,2565.79,2581.42,852806.87,85280.687,219788882.42634,1
1748242800000,2581.42,2598.53,2578.18,2580.72,1750710.19,175071.019,452992414.58173,1
1748244600000,2580.72,2585.86,2576,2579.86,666768.64,66676.864,172038745.28696,1
1748246400000,2579.86,2581.9,2572,2573.74,512288.9,51228.89,132001657.36047,1
1748248200000,2573.75,2576,2564,2567.33,775047.33,77504.733,199105260.33969,1
1748250000000,2567.33,2573.75,2563.32,2570.32,501036.94,50103.694,128746078.78629,1
1748251800000,2570.31,2570.97,2551.64,2562.33,1114505.57,111450.557,285367936.59106,1
1748253600000,2562.33,2568.58,2559,2565.93,421916.58,42191.658,108175464.93111,1
1748255400000,2565.93,2566.78,2552.66,2558.57,503286.58,50328.658,128819086.15062,1
1748257200000,2558.57,2563,2554.6,2561.81,319406.18,31940.618,81770954.24116,1
1748259000000,2561.81,2567.58,2555.62,2566.85,352653.14,35265.314,90408088.01154,1
1748260800000,2566.85,2569.5,2559.57,2561.78,338701.96,33870.196,86853727.03599,1
1748262600000,2561.78,2573.71,2561,2567.15,436180.7,43618.07,112007471.34384,1
1748264400000,2567.15,2570.53,2555.55,2563.44,664677.26,66467.726,170281737.86247,1
1748266200000,2563.38,2568.53,2536,2550,1334312.37,133431.237,340362571.03112,1
1748268000000,2550,2555.47,2545,2549.13,713961.45,71396.145,182043964.12373,1
1748269800000,2549.13,2550.26,2541,2549.83,616951.62,61695.162,157067388.63721,1
1748271600000,2549.83,2556.59,2544.27,2555.3,415683.4,41568.34,106023087.4068,1
1748273400000,2555.29,2570.22,2555.29,2564.8,1193393.83,119339.383,305998077.04752,1
1748275200000,2564.81,2572.65,2534.08,2542.89,1668217.28,166821.728,425525447.20589,1
1748277000000,2542.9,2549.4,2536.5,2541.59,708109.98,70810.998,180089368.95323,1
1748278800000,2541.59,2547.99,2536.89,2540.74,310797.8,31079.78,79023862.06769,1
1748280600000,2540.74,2542.6,2523.34,2532.89,815945.31,81594.531,206529018.91361,1
1748282400000,2532.89,2542.57,2526.78,2542.16,403446.21,40344.621,102321073.01649,1
1748284200000,2542.16,2545.31,2531.22,2533.85,281081.39,28108.139,71346643.54858,1
1748286000000,2533.88,2542.17,2531.16,2539.32,246159.01,24615.901,62452303.59736,1
1748287800000,2539.32,2543.11,2534.09,2539.75,199142.38,19914.238,50559145.58281,1
1748289600000,2539.75,2547.46,2535.03,2544.65,384918.31,38491.831,97846105.80981,1
1748291400000,2544.65,2568,2543.66,2565.14,933889.47,93388.947,238736374.1348,1
1748293200000,2565.14,2567.32,2554.37,2560.29,399341.26,39934.126,102245569.84944,1
1748295000000,2560.29,2566.5,2556.13,2561.41,278398.74,27839.874,71310887.81655,1
1748296800000,2561.42,2584.54,2556.96,2563.47,737153.4,73715.34,189543565.17721,1
1748298600000,2563.47,2568,2555.6,2558.51,263998.8,26399.88,67597492.64156,1
1748300400000,2558.52,2559.58,2551.71,2556.29,289339.51,28933.951,73949889.69491,1
1748302200000,2556.3,2564,2554.3,2562.87,305165.39,30516.539,78133662.18905,1
1748304000000,2562.87,2572.75,2557.26,2558.97,525549.09,52554.909,134754376.92269,1
1748305800000,2558.96,2559.07,2547.33,2550.14,446594.04,44659.404,114028793.00965,1
1748307600000,2550.17,2550.17,2508.06,2526.3,2314288.22,231428.822,584821272.11035,1
1748309400000,2526.31,2530.48,2520.1,2528.94,798735.07,79873.507,201786741.79562,1
1748311200000,2528.94,2540.44,2527.07,2539.42,561714.24,56171.424,142385928.57715,1
1748313000000,2539.42,2543.78,2530.77,2534.49,577015.56,57701.556,146448273.44916,1
1748314800000,2534.49,2564.78,2534.48,2551.95,1130615.24,113061.524,288597936.80584,1
1748316600000,2551.95,2554.5,2546.47,2547.91,432789.82,43278.982,110381651.78793,1
1748318400000,2547.91,2561.15,2547.61,2558,449144.66,44914.466,114762767.11468,1
1748320200000,2558,2567.72,2555,2557.87,692104.78,69210.478,177242032.17922,1
1748322000000,2557.87,2558.6,2548.98,2554.5,392218.73,39221.873,100184400.72748,1
1748323800000,2554.5,2572,2552.67,2568.23,707260.85,70726.085,181433183.50848,1
1748325600000,2568.23,2609.99,2568.23,2595.3,3432235.22,343223.522,890098824.22328,1
1748327400000,2595.3,2601.43,2563.32,2568.94,2224605,222460.5,574230419.56879,1
1748329200000,2568.96,2590.48,2568.6,2589.68,1058419.79,105841.979,273027266.87543,1
1748331000000,2589.68,2618,2589.21,2606.52,1979222.34,197922.234,515320738.60028,1
1748332800000,2606.54,2642.42,2606.29,2636.53,3402192.58,340219.258,893977780.499,1
1748334600000,2636.53,2640.47,2628.86,2633.99,1190607.19,119060.719,313684862.02741,1
1748336400000,2633.99,2639.12,2620.8,2622.49,1175970.44,117597.044,309318677.1202,1
1748338200000,2622.5,2648.43,2622.19,2637.04,1161701,116170.1,306161248.59075,1
1748340000000,2637.05,2640.48,2629.55,2639.48,549003.85,54900.385,144640835.44522,1
1748341800000,2639.47,2641.09,2631.95,2637.39,349235.26,34923.526,92063987.4361,1
1748343600000,2637.39,2640,2625.51,2636.87,499728.76,49972.876,131586487.09193,1
1748345400000,2636.86,2654.05,2636.42,2650.78,1221275.82,122127.582,323117935.63035,1
1748347200000,2650.78,2652.78,2633.01,2647.43,1131346.04,113134.604,299037693.47618,1
1748349000000,2647.42,2648.03,2636.5,2647,542168.46,54216.846,143257258.61874,1
1748350800000,2647.01,2685,2644.44,2665.9,3573512.11,357351.211,953161039.71096,1
1748352600000,2665.91,2674.61,2642.63,2654.06,1970029.09,197002.909,523224251.06202,1
1748354400000,2654.05,2666.88,2648.44,2650.32,1297409.36,129740.936,344862653.18435,1
1748356200000,2650.32,2671.49,2632.2,2659.89,2553205.55,255320.555,677205160.42464,1
1748358000000,2659.9,2667.84,2652,2661.99,944143.81,94414.381,251249019.03687,1
1748359800000,2661.99,2669.52,2658.5,2667.27,635489.99,63548.999,169331903.2011,1
1748361600000,2667.27,2679.99,2657.16,2661.16,1247778.67,124777.867,333176518.68754,1
1748363400000,2661.16,2683.12,2660.33,2669.22,919289.1,91928.91,245706976.95423,1
1748365200000,2669.23,2694.95,2668.9,2678.7,1783378.86,178337.886,478568737.40028,1
1748367000000,2678.7,2711.64,2675.44,2694.72,2143418.5,214341.85,578315863.65471,1
1748368800000,2694.73,2707.55,2682.67,2683.39,953590.38,95359.038,256979169.29414,1
1748370600000,2683.4,2690,2674.51,2679.26,718834.76,71883.476,192750908.35367,1
1748372400000,2679.27,2685.76,2673,2680.16,516098.03,51609.803,138268593.75998,1
1748374200000,2680.16,2687.81,2670.38,2686.66,582413.73,58241.373,156079881.69984,1
1748376000000,2686.66,2693.33,2679.29,2682.08,452668.07,45266.807,121617688.38927,1
