timestamp,open,high,low,close,volume,volume_ccy,volume_ccy_quote,confirm
1720123200000,133.97,135.68,127.13,127.83,1646476.6,1646476.6,215366117.8946,1
1720137600000,127.79,129.15,120.59,123.68,4626222.48,4626222.48,579872005.8234,1
1720152000000,123.68,127.86,120.85,126.72,2987096.35,2987096.35,374710466.7181,1
1720166400000,126.73,130.86,122.08,130.1,2713919.84,2713919.84,343762155.0304,1
1720180800000,130.09,134.99,128.4,134.88,3162444.58,3162444.58,417309689.1386,1
1720195200000,134.88,136.5,133.6,134.96,1735559.76,1735559.76,234234129.5346,1
1720209600000,134.95,135.79,133.93,134.29,532628.98,532628.98,71776443.2035,1
1720224000000,134.29,137.86,132.3,134.45,1440501.1,1440501.1,194034822.4087,1
1720238400000,134.44,137.37,133.58,136.93,972377.72,972377.72,131692036.4439,1
1720252800000,136.92,140.8,136.4,138.71,1202685.63,1202685.63,167108331.0624,1
1720267200000,138.72,142.28,137.73,141.89,1257284.99,1257284.99,175873091.051,1
1720281600000,141.9,143.55,140.53,142.82,1055258.9,1055258.9,150322490.7276,1
1720296000000,142.81,144.57,142.12,143.06,646504.84,646504.84,92712066.9332,1
1720310400000,143.06,143.4,140.31,142.12,980100.69,980100.69,138870900.2997,1
1720324800000,142.12,142.12,138.09,139.1,970671.57,970671.57,135622411.865,1
1720339200000,139.11,140.69,138.75,139.9,430011.25,430011.25,60073952.825,1
1720353600000,139.9,140.8,135.59,137.06,1186149.27,1186149.27,162944573.2495,1
1720368000000,137.07,139.6,136.75,137.34,612106.55,612106.55,84610925.5375,1
1720382400000,137.34,137.89,131.19,131.65,1294521.33,1294521.33,173299686.8542,1
1720396800000,131.65,132.97,127.75,130.69,2364636.04,2364636.04,308156114.9931,1
1720411200000,130.68,133.97,129.83,132.61,1217507.83,1217507.83,161319252.7577,1
1720425600000,132.6,141.98,132.34,140.63,2800226.28,2800226.28,388517142.1371,1
1720440000000,140.62,142.08,133.57,137.48,3142538.94,3142538.94,434631150.0586,1
1720454400000,137.49,138.61,135.01,138.32,1123399.64,1123399.64,153868935.2445,1
1720468800000,138.33,141.12,137.31,139.8,993932.83,993932.83,138512718.0664,1
1720483200000,139.81,141.23,136.45,140.44,1367067.03,1367067.03,189734895.6821,1
1720497600000,140.45,143.5,140.07,142.12,1228889.36,1228889.36,174206838.7311,1
1720512000000,142.12,144.34,140.28,141.9,1237695.5,1237695.5,175941930.6744,1
1720526400000,141.89,143.15,138.6,140.53,1482004.67,1482004.67,208473769.7607,1
1720540800000,140.53,143.21,140.07,142.11,1002197.41,1002197.41,142167053.6269,1
1720555200000,142.1,143.59,140.74,141.45,449034.65,449034.65,63797498.3062,1
1720569600000,141.45,141.81,138.57,141.7,765700.14,765700.14,107387434.7436,1
1720584000000,141.7,146.21,141.68,144.17,1568214.66,1568214.66,226290552.1766,1
1720598400000,144.18,144.57,142.2,142.8,752059.57,752059.57,107721907.2226,1
1720612800000,142.79,143.18,140,141.17,1575835.9,1575835.9,223132792.4216,1
1720627200000,141.17,142.68,140.29,141.09,587306.66,587306.66,82978708.8863,1
1720641600000,141.09,142.49,140.21,141.99,344269.05,344269.05,48664707.4028,1
1720656000000,141.99,143.23,139.08,140.34,821728.96,821728.96,116011371.3153,1
1720670400000,140.33,142.5,140.08,142.07,544170.83,544170.83,76871468.1744,1
1720684800000,142.08,143.99,142.08,143.5,591749.88,591749.88,84507145.7459,1
1720699200000,143.51,146.19,137.66,138.46,2637614.96,2637614.96,375502320.6642,1
1720713600000,138.48,139,136.46,136.62,784424.67,784424.67,108217216.3913,1
1720728000000,136.6,137.64,135.51,135.74,852345.41,852345.41,116360434.1403,1
1720742400000,135.75,138.19,134.04,136.52,1251514,1251514,170438864.9011,1
1720756800000,136.52,137,134.44,135.41,866314.58,866314.58,117698184.712,1
1720771200000,135.41,135.95,133.83,135.66,703400.91,703400.91,95105212.4882,1
1720785600000,135.67,139.38,135.41,138.81,1485362.58,1485362.58,204465061.2622,1
1720800000000,138.81,140.56,137.73,138.49,677340.94,677340.94,94166627.2849,1
1720814400000,138.48,139.56,136.6,139.44,427621.47,427621.47,59008370.3088,1
1720828800000,139.44,140.01,138.29,138.75,393828.03,393828.03,54812748.3686,1
1720843200000,138.75,139.48,137.92,139.36,453048.18,453048.18,62884910.1124,1
1720857600000,139.35,141.03,138.4,140.09,681752.63,681752.63,95363178.8021,1
1720872000000,140.09,140.64,139.25,140.38,362303.3,362303.3,50738197.006,1
1720886400000,140.39,140.86,139.16,139.82,289022.21,289022.21,40408683.3647,1
1720900800000,139.82,143.68,139.05,141.83,757673.38,757673.38,107235819.0753,1
