timestamp,open,high,low,close,volume,volume_ccy,volume_ccy_quote,confirm
1720123200000,3133.51,3169.96,3050.13,3060.31,3215737.8,321573.78,998879857.3822,1
1720137600000,3060.32,3109.95,2868,2921.03,12038124,1203812.4,3600888376.5365,1
1720152000000,2920.92,2928.53,2803.48,2881.68,8973536.6,897353.66,2579259679.4148,1
1720166400000,2881.68,2957.1,2822.58,2947.49,6464552.6,646455.26,1871367677.5544,1
1720180800000,2947.5,3006.3,2921.11,2991.79,7106605.5,710660.55,2104298353.6008,1
1720195200000,2991.8,3002.69,2958.02,2988.58,2980255.4,298025.54,888727525.8255,1
1720209600000,2988.49,2993.62,2963.62,2981.37,985590.1,98559.01,293720302.8739,1
1720224000000,2981.53,3027.76,2954.22,2980.69,2601975.5,260197.55,776399423.5063,1
1720238400000,2980.69,3016.22,2962.01,3004.18,1822635.7,182263.57,545274323.2385,1
1720252800000,3004.19,3015.3,2985.4,3005.76,1344654.6,134465.46,403660465.2448,1
1720267200000,3005.77,3031,2988.67,3019.95,1783201.7,178320.17,536907249.1797,1
1720281600000,3019.94,3067.85,3015.16,3058.3,2159004.7,215900.47,657965777.0804,1
1720296000000,3058.3,3082.74,3056.33,3067.05,1165799.2,116579.92,357735473.7679,1
1720310400000,3067.06,3073.51,3039,3051.38,1600076.6,160007.66,488612002.6391,1
1720324800000,3051.38,3051.38,2993.16,3004.39,2082043.1,208204.31,629331712.6945,1
1720339200000,3004.39,3032.57,3004.22,3015.25,1214661,121466.1,366173700.5043,1
1720353600000,3015.25,3024.9,2955.07,2971.25,3123279.9,312327.99,930476233.6832,1
1720368000000,2971.25,3010.31,2964,2985.56,1699489.8,169948.98,508300654.2732,1
1720382400000,2985.56,3000.98,2922,2931.69,2497250,249725,737038880.2156,1
1720396800000,2931.68,2952.65,2822.06,2879.42,6851495.1,685149.51,1968993716.0003,1
1720411200000,2879.43,2933.33,2875.04,2927.16,2652175.5,265217.55,772429846.7184,1
1720425600000,2927.16,3098.73,2922.16,3053.99,7978285.8,797828.58,2416574411.4635,1
1720440000000,3054.11,3063.95,2890.01,2969.29,9045320.8,904532.08,2701424088.725,1
1720454400000,2969.11,3009.7,2944.08,3004.35,2555686.9,255568.69,760957427.963,1
1720468800000,3004.53,3047.78,2983.74,3018.7,1504621.3,150462.13,453785274.5645,1
1720483200000,3018.69,3077,3003.71,3064.01,3781845,378184.5,1151173426.9188,1
1720497600000,3064.02,3090.8,3053.3,3061.81,2614927.6,261492.76,802938194.2533,1
1720512000000,3061.8,3116.14,3054.19,3083.04,2870970.9,287097.09,886089969.8621,1
1720526400000,3083.05,3109.75,3036.06,3067.66,4598503.7,459850.37,1411328203.8017,1
1720540800000,3067.66,3089.8,3046.02,3069.04,2105255.9,210525.59,645444473.8341,1
1720555200000,3069.04,3079,3047,3066.61,1112291.5,111229.15,340921499.5083,1
1720569600000,3066.67,3083.33,3023.92,3080.16,2225521.2,222552.12,679920347.4163,1
1720584000000,3080.04,3131.5,3080.04,3097.39,3246387.8,324638.78,1008348425.801,1
1720598400000,3097.38,3110,3078.3,3102.45,1915443,191544.3,592605879.7648,1
1720612800000,3102.46,3130,3077.13,3122.8,4056094.6,405609.46,1260010997.5491,1
1720627200000,3122.8,3152.59,3090,3107.35,2630221.5,263022.15,821399532.854,1
1720641600000,3107.46,3114.76,3080.07,3101.06,1049254.6,104925.46,325208867.0612,1
1720656000000,3101.05,3131.57,3053.61,3077.05,2632798.2,263279.82,813915743.6707,1
1720670400000,3077,3124,3074,3118,1714231.9,171423.19,531637413.9048,1
1720684800000,3118.29,3157.3,3114.37,3146.87,2709740.4,270974.04,849961472.1622,1
1720699200000,3146.86,3216.66,3103.64,3118.61,6965937.7,696593.77,2205477784.8816,1
1720713600000,3118.61,3148.99,3097.44,3107.4,1969969.4,196996.94,615750905.8412,1
1720728000000,3107.25,3122.82,3086,3099.8,1415133.6,141513.36,439035855.472,1
1720742400000,3099.92,3118.28,3055.14,3086.1,2401685.5,240168.55,741817517.5008,1
1720756800000,3086.1,3099.04,3057,3071.72,1945444.1,194544.41,598984683.9545,1
1720771200000,3071.73,3085.5,3046.02,3070.18,2275475.9,227547.59,697744703.7037,1
1720785600000,3070.25,3142,3057.16,3131.11,3932507.1,393250.71,1221700188.2473,1
1720800000000,3131.11,3158,3113.5,3116.47,2261669.7,226166.97,709310939.9515,1
1720814400000,3116.48,3136,3090,3134.3,1261651.5,126165.15,392783509.8183,1
1720828800000,3134.31,3140.87,3120,3120.59,725859.5,72585.95,227184766.1582,1
1720843200000,3120.59,3142.98,3113.2,3139.99,1227663.1,122766.31,384086703.5583,1
1720857600000,3139.99,3172.92,3128.54,3157.29,2180626.9,218062.69,687961646.423,1
