timestamp,open,high,low,close,volume,volume_ccy,volume_ccy_quote,confirm
1779084000000,2117.52,2120.3,2108.01,2117.93,1692465.72,169246.572,357867773.31317,1
1779087600000,2117.94,2123,2110.7,2119.52,1075640.34,107564.034,227809101.59746,1
1779091200000,2119.53,2122.86,2116.33,2120.16,594385.67,59438.567,126003987.06724,1
1779094800000,2120.15,2120.52,2114.67,2115.89,461780.16,46178.016,97751321.34935,1
1779098400000,2115.88,2116.66,2111.5,2113.5,807303.38,80730.338,170675414.06326,1
1779102000000,2113.51,2139.76,2109.19,2133.11,2622375.86,262237.586,558064531.02541,1
1779105600000,2133.11,2156.71,2133.11,2150,3476763.05,347676.305,746364405.5923,1
1779109200000,2150,2150.64,2119.06,2130.06,3756796.59,375679.659,801394144.70701,1
1779112800000,2130.05,2130.2,2096.17,2109.41,4417136,441713.6,933441485.75833,1
1779116400000,2109.41,2110.66,2091.78,2106.72,3377016.37,337701.637,709500344.99502,1
1779120000000,2106.72,2110.93,2088.9,2096.87,2210548.84,221054.884,463904370.35115,1
1779123600000,2096.86,2109.61,2094.19,2107.3,982140.74,98214.074,206699340.58954,1
1779127200000,2107.3,2108.34,2076.01,2080.17,3067643.1,306764.31,640004505.76164,1
1779130800000,2080.17,2127.94,2078.1,2124.4,3911999.6,391199.96,824693948.40015,1
1779134400000,2124.41,2130.6,2113.69,2116.61,1188892.06,118889.206,252308979.99273,1
1779138000000,2116.6,2142,2113.32,2136.12,1279601.09,127960.109,272658533.24072,1
1779141600000,2136.13,2142,2128.49,2134.5,916226.23,91622.623,195669361.81704,1
1779145200000,2134.51,2137.95,2126.22,2129.03,610096.56,61009.656,130049024.7112,1
1779148800000,2129.03,2146.61,2127.16,2134.98,1118197.5,111819.75,238980276.10298,1
1779152400000,2134.97,2137.28,2122.22,2123.92,1242304.02,124230.402,264410697.37906,1
1779156000000,2123.91,2135,2118.21,2122.3,1324839.72,132483.972,281540015.95725,1
1779159600000,2122.29,2133.84,2121.13,2130.62,703965.65,70396.565,149856442.84659,1
1779163200000,2130.62,2136,2126.81,2132.64,764597.3,76459.73,163030447.36297,1
1779166800000,2132.63,2136.49,2122.42,2134.02,1062457.35,106245.735,226357625.14676,1
1779170400000,2134.03,2139.38,2131.2,2136.33,694825.3,69482.53,148391515.08439,1
1779174000000,2136.33,2144,2134.11,2139.85,894867.35,89486.735,191448338.09123,1
1779177600000,2139.86,2140.58,2129.61,2132.27,1002804.15,100280.415,214081540.25438,1
1779181200000,2132.27,2133.26,2110.3,2113.65,2378643.71,237864.371,504116606.03939,1
