timestamp,open,high,low,close,volume,volume_ccy,volume_ccy_quote,confirm
1718683200000,135.54,138.83,134.71,137.29,1424237.99,1424237.99,195106145.007,1
1718704800000,137.3,138.44,132.86,136.03,2624391.54,2624391.54,356342256.4501,1
1718726400000,136.02,138.43,130.39,137.78,2095507.33,2095507.33,280844468.9655,1
1718748000000,137.79,141.42,136.12,140.08,1910321.26,1910321.26,264939011.7895,1
1718769600000,140.08,141.99,137.78,138.55,1447165.56,1447165.56,202548143.2085,1
1718791200000,138.54,139.56,135.5,136.96,1265161.85,1265161.85,173804789.3126,1
1718812800000,136.95,139.08,134.68,135.74,1139131.05,1139131.05,155668836.5397,1
1718834400000,135.75,137.24,132.6,133.09,1269786.83,1269786.83,171154590.7344,1
1718856000000,133.08,138.12,132.57,137.34,1782255.05,1782255.05,242552127.6522,1
1718877600000,137.34,141.28,132.54,133.25,2765220.14,2765220.14,378607302.1377,1
1718899200000,133.27,135.83,131.87,133.69,1199683.29,1199683.29,160422125.2416,1
1718920800000,133.69,134.9,131.7,132.7,1015657.86,1015657.86,135431482.2544,1
1718942400000,132.71,133.32,129.58,132.37,1510795.33,1510795.33,199050128.2887,1
1718964000000,132.38,133.77,129.35,131.41,2037728.91,2037728.91,267766665.2507,1
1718985600000,131.4,134.87,128.72,133.78,1684369.23,1684369.23,221751046.7371,1
1719007200000,133.78,135.38,133,135.03,960465.13,960465.13,128944095.0468,1
1719028800000,135.03,136.69,133.71,134.53,1030494.31,1030494.31,139141253.9636,1
1719050400000,134.53,134.77,133.86,134.28,479494.28,479494.28,64401755.5787,1
1719072000000,134.29,135.03,133.89,134.51,366144.7,366144.7,49187593.7907,1
1719093600000,134.51,135.1,133.13,134.75,469353.36,469353.36,63085044.876,1
1719115200000,134.75,135.05,134.17,134.68,275161.87,275161.87,37033059.4486,1
1719136800000,134.68,134.74,131.41,131.61,846142.9,846142.9,112672513.0961,1
1719158400000,131.61,132.51,128.72,130.6,1165187.54,1165187.54,152422396.6488,1
1719180000000,130.59,130.59,125.87,126.24,1736419.49,1736419.49,222049636.508,1
1719201600000,126.23,126.73,121.5,126.09,3539084.98,3539084.98,441650511.8839,1
1719223200000,126.09,129.89,125.66,126.34,2704157.01,2704157.01,344875175.287,1
1719244800000,126.35,131.28,125,130.96,3498670.77,3498670.77,446849161.2611,1
1719266400000,130.96,136.58,130.11,135.76,1697972.76,1697972.76,226024053.6769,1
1719288000000,135.76,137.61,133.52,137.04,1846684.16,1846684.16,250323017.7044,1
1719309600000,137.04,139.9,136.47,139.43,2095502.89,2095502.89,289055354.7902,1
1719331200000,139.44,139.6,137.07,137.37,841491.74,841491.74,116374991.0593,1
1719352800000,137.36,140.42,135.89,138.4,1171853.91,1171853.91,161694878.87,1
1719374400000,138.4,138.77,136.11,136.87,889364.36,889364.36,121944099.0673,1
1719396000000,136.87,139.49,136.05,136.87,1371971.84,1371971.84,188468737.8335,1
1719417600000,136.87,138.46,134.83,137.64,1205895.92,1205895.92,164392954.2536,1
